,0
vbs22_all,0.44705882352941173
vbs22_vbs22-avs-01,0.7176470588235294
vbs22_vbs22-avs-02,0.8453617415394724
vbs22_vbs22-avs-04,0.7941176470588236
vbs22_vbs22-avs-05,0.4823529411764706
vbs22_vbs22-avs-06,0.047058823529411764
vbs22_vbs22-avs-07,0.9058823529411765
vbs22_vbs22-avs-09,0.7854753377271815
vbs22_vbs22-avs-10,0.8764705882352942
vbs23_all,0.9285714285714285
vbs23_vbs23-avs1,0.9615384615384615
vbs23_vbs23-avs2,0.7582417582417583
vbs23_vbs23-avs3,0.9171410693823175
vbs23_vbs23-avs4,0.8846153846153846
vbs23_vbs23-avs5,0.6538461538461539
vbs23_vbs23-avs6,0.8791208791208791
vbs23_vbs23-avs7,0.9711150865094875
